TamanoMatriz;Procesos;Tiempo
5100;34;0.113359
11500;16;0.430918
8500;28;0.193031
8500;30;0.186024
11500;18;0.330221
11700;14;0.346524
8700;32;0.187186
11500;20;0.322882
5300;34;0.117360
7900;26;0.212274
7700;22;0.175196
7900;24;0.186041
5500;34;0.122310
8700;28;0.205076
8700;30;0.196351
5700;34;0.126307
8900;32;0.194852
11700;16;0.422225
8100;26;0.223747
11900;14;0.358548
11700;18;0.339597
5900;34;0.127930
7900;22;0.179278
8100;24;0.183866
11700;20;0.336373
8900;28;0.201602
8900;30;0.200335
6100;34;0.134176
9100;32;0.203446
8300;26;0.229557
6300;34;0.137558
8100;22;0.180867
100;36;0.063970
100;38;0.041432
100;46;0.086407
100;48;0.050333
100;50;0.030070
100;52;0.024842
100;44;0.053067
100;54;0.052756
100;56;0.017527
100;42;0.193720
100;40;0.026517
8300;24;0.186206
300;36;0.056311
300;38;0.021879
11900;16;0.449766
9100;28;0.216983
9100;30;0.209039
500;36;0.049555
500;38;0.030254
300;46;0.054374
300;48;0.034961
300;50;0.029614
300;44;0.035540
300;52;0.029590
300;54;0.030389
300;42;0.227618
300;40;0.023593
300;56;0.028595
11900;18;0.352280
12100;14;0.379177
700;36;0.034385
700;38;0.030744
500;46;0.029792
900;38;0.031115
900;36;0.033848
500;50;0.033608
500;42;0.279662
500;44;0.029515
500;48;0.038708
500;52;0.030042
500;40;0.042619
500;54;0.085200
500;56;0.030779
6500;34;0.146549
1100;36;0.058086
700;46;0.033222
1100;38;0.056874
9300;32;0.213750
700;44;0.039008
700;48;0.030783
700;42;0.170337
700;52;0.030175
700;50;0.029861
1300;36;0.059874
900;46;0.032428
700;40;0.037160
1300;38;0.058768
700;54;0.030504
700;56;0.029460
11900;20;0.345372
1500;36;0.061883
1100;46;0.031451
900;48;0.031717
1500;38;0.060229
900;52;0.031303
900;44;0.034743
900;50;0.040700
900;54;0.031317
900;40;0.034018
900;56;0.030823
900;42;0.183862
1700;36;0.067023
1300;46;0.058597
1700;38;0.063192
1100;52;0.031292
1100;50;0.040265
1100;42;0.130463
1100;48;0.040055
1100;44;0.035979
1100;54;0.031515
1100;56;0.031925
1100;40;0.044236
1900;36;0.072555
8500;26;0.236123
1300;42;0.147945
1900;38;0.065663
1500;46;0.059788
1300;44;0.059743
1300;50;0.057758
1300;52;0.055908
1300;48;0.063825
1300;40;0.060284
6700;34;0.148890
1300;54;0.031570
1300;56;0.030916
2100;36;0.098212
1500;42;0.146163
1500;44;0.061569
2100;38;0.068908
1700;46;0.061451
1500;48;0.059105
1500;50;0.058691
1500;52;0.058269
1500;40;0.063162
1500;54;0.058434
1700;42;0.152149
1500;56;0.057823
2300;36;0.096748
1700;44;0.061578
8300;22;0.190733
2300;38;0.071508
1900;46;0.063507
9300;28;0.229808
1700;50;0.060414
1700;48;0.064669
9300;30;0.221046
1700;54;0.059031
1700;40;0.064197
8500;24;0.197626
1900;42;0.221251
1700;56;0.058904
2500;36;0.078175
1900;44;0.063344
2500;38;0.075116
2100;46;0.065609
1900;48;0.062300
1900;50;0.062936
1900;52;0.061434
1900;54;0.062024
2100;42;0.152917
1900;56;0.060565
1900;40;0.091622
2700;36;0.081440
2100;44;0.067975
2700;38;0.079120
2300;46;0.068720
2100;48;0.064645
2100;50;0.064010
2100;52;0.064101
9500;32;0.219110
2300;42;0.163771
2100;54;0.063328
6900;34;0.154265
2100;56;0.062806
2300;44;0.087717
2900;36;0.084391
2100;40;0.123357
2900;38;0.082556
2300;48;0.067407
2500;46;0.070716
2300;50;0.066628
2500;42;0.228117
2300;52;0.066332
12100;16;0.488495
2300;54;0.065269
2300;56;0.065068
2500;44;0.071527
2300;40;0.073332
3100;36;0.088832
12100;18;0.362794
2500;48;0.070373
2700;46;0.073567
3100;38;0.086794
2500;50;0.068459
2700;42;0.325343
2500;52;0.067687
2500;54;0.067813
2700;44;0.074425
2500;56;0.066463
3300;36;0.096286
2500;40;0.074317
2700;48;0.072376
12300;14;0.392704
2900;46;0.085906
2700;50;0.070637
2900;42;0.167380
3300;38;0.087501
2700;52;0.070807
2700;54;0.070159
2900;44;0.078028
12100;20;0.355385
2700;56;0.069398
8700;26;0.245056
3500;36;0.094008
7100;34;0.297476
2900;48;0.075643
2900;50;0.073707
2700;40;0.077797
3100;46;0.085173
3500;38;0.106288
2900;52;0.073563
3100;42;0.181111
9500;28;0.238726
9500;30;0.229258
2900;54;0.072926
3100;44;0.080528
2900;56;0.071465
3700;36;0.095310
3100;48;0.078414
3100;50;0.076688
3300;46;0.084087
3100;52;0.076171
3700;38;0.096543
2900;40;0.081864
8700;24;0.211622
8500;22;0.196756
3300;42;0.181873
3300;44;0.086674
3100;54;0.076380
3100;56;0.073834
9700;32;0.230925
3300;48;0.081397
3900;36;0.098566
3300;50;0.079642
3500;46;0.089187
3300;52;0.078361
3900;38;0.098395
3100;40;0.084740
3500;44;0.117447
3300;54;0.078899
3500;42;0.179946
3300;56;0.076545
7300;34;0.166173
3500;48;0.084583
4100;36;0.101896
3500;50;0.082055
3700;46;0.090347
3500;52;0.118777
3700;44;0.089793
4100;38;0.098036
3300;40;0.088928
3500;54;0.082161
3500;56;0.078920
3700;42;0.197312
3700;48;0.085954
3700;50;0.085446
3900;46;0.093996
4300;36;0.103626
3700;52;0.085616
3900;44;0.093052
12300;16;0.406539
3700;54;0.085219
4300;38;0.099722
12300;18;0.372733
3500;40;0.091313
8900;26;0.253306
9700;28;0.248086
3700;56;0.082851
9700;30;0.237448
3900;42;0.297264
3900;48;0.089544
3900;50;0.091225
4100;46;0.102757
7500;34;0.171894
4500;36;0.108669
3900;52;0.088423
4100;44;0.096281
3900;54;0.085678
4500;38;0.104132
8900;24;0.291997
12300;20;0.365825
3700;40;0.093844
12500;14;0.408581
9900;32;0.236186
3900;56;0.085705
4100;42;0.185978
8700;22;0.212239
4100;48;0.091226
4100;50;0.090793
4300;46;0.101440
4700;36;0.111173
4300;44;0.097543
4100;52;0.090374
4100;54;0.089074
4700;38;0.106267
4100;56;0.089007
4300;48;0.094690
4300;50;0.092317
4500;46;0.100342
3900;40;0.095658
4300;42;0.209526
4900;36;0.116877
4300;52;0.091967
7700;34;0.179651
4500;44;0.097371
4300;54;0.092003
4900;38;0.111442
4300;56;0.091994
4500;50;0.094735
4500;48;0.098909
4700;46;0.103471
4500;52;0.096272
4100;40;0.098572
4700;44;0.100161
9900;28;0.259595
9900;30;0.245504
9100;26;0.261776
4500;42;0.184548
4500;54;0.093576
5100;38;0.110954
4500;56;0.094736
4700;50;0.093470
4700;48;0.103653
4900;46;0.101859
12500;16;0.411688
10100;32;0.246453
4700;52;0.097189
4900;44;0.103032
7900;34;0.185921
12500;18;0.381772
5300;36;0.119286
9100;24;0.239806
4700;54;0.097531
4300;40;0.101496
5300;38;0.113782
4700;56;0.099692
4700;42;0.353049
8900;22;0.216599
4900;50;0.099553
4900;48;0.097637
5100;46;0.105300
4900;52;0.098112
12500;20;0.378609
5100;44;0.105570
5500;36;0.125908
4900;54;0.097978
12700;14;0.416362
5500;38;0.116365
4500;40;0.102333
4900;56;0.097786
5100;48;0.102553
5100;50;0.098637
4900;42;0.208082
5300;46;0.109076
5100;52;0.098661
5300;44;0.125970
8100;34;0.195870
10100;28;0.255234
10100;30;0.252789
5700;36;0.126903
5100;54;0.099344
5700;38;0.122752
5100;56;0.103655
9300;26;0.262602
5300;48;0.103655
4700;40;0.106976
5300;50;0.102127
5500;46;0.109286
5100;42;0.234325
10300;32;0.254932
5300;52;0.101855
5500;44;0.104550
5900;36;0.132090
5300;54;0.100526
9300;24;0.234715
5900;38;0.124708
5300;56;0.103351
5500;48;0.105791
5500;50;0.103199
5700;46;0.111125
8300;34;0.201492
4900;40;0.107546
12700;16;0.499741
9100;22;0.274197
5500;52;0.106819
5300;42;0.189239
5700;44;0.113397
12700;18;0.389170
5500;54;0.103962
6100;36;0.134362
6100;38;0.128985
5500;56;0.107794
5700;48;0.108825
5700;50;0.108385
10300;28;0.263398
12700;20;0.388218
10300;30;0.256923
5700;52;0.110503
5900;46;0.202332
5100;40;0.111744
5900;44;0.114078
12900;14;0.433390
5700;54;0.108989
5500;42;0.273137
10500;32;0.265758
6300;36;0.140862
6300;38;0.132144
9500;26;0.280106
5700;56;0.112572
8500;34;0.208575
5900;48;0.114654
5900;50;0.110210
5900;52;0.113837
6100;46;0.116256
6100;44;0.123251
5300;40;0.116870
9500;24;0.238231
5900;54;0.115703
5700;42;0.228041
6500;38;0.136698
6500;36;0.144907
5900;56;0.117944
9300;22;0.231974
6100;48;0.112720
6100;50;0.115673
6100;52;0.118658
6300;46;0.119592
10500;28;0.275571
6300;44;0.164255
12900;16;0.483623
10500;30;0.277597
8700;34;0.218225
6100;54;0.120154
5500;40;0.115411
12900;18;0.409261
6700;38;0.140546
5900;42;0.241421
6700;36;0.175040
6100;56;0.121337
6300;48;0.117916
6300;50;0.117825
10700;32;0.271500
6300;52;0.122112
12900;20;0.400014
6500;46;0.124428
6500;44;0.153093
9700;26;0.290164
6300;54;0.122265
13100;14;0.446236
6900;38;0.144549
5700;40;0.154278
6900;36;0.153301
6300;56;0.125288
6100;42;0.233861
6500;48;0.124059
6500;50;0.124171
8900;34;0.225580
6500;52;0.122448
9700;24;0.249626
6700;46;0.129838
6700;44;0.147202
6500;54;0.125561
9500;22;0.242564
10700;28;0.283440
10700;30;0.291045
7100;38;0.148398
7100;36;0.159602
6500;56;0.129334
6700;48;0.128785
6700;50;0.128584
5900;40;0.124235
6700;52;0.131918
6300;42;0.365919
6900;46;0.131125
10900;32;0.283901
13100;16;0.543835
6900;44;0.135815
6700;54;0.131938
